license_id,user_principal_name,display_name,employee_id,license_type,status,provisioned_date,last_login_date,days_since_last_login,mfa_enrolled,mobile_enrolled,notes
ARC-LIC-10114,chloe.bassett@vandelay.example,Chloe Bassett,VL-1073,Standard,Active,2020-07-23,2026-09-05,3,Yes,Yes,
ARC-LIC-10043,mei.rasmussen@vandelay.example,Mei Rasmussen,VL-1166,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10175,isla.pemberton@vandelay.example,Isla Pemberton,VL-1223,Standard,Active,2026-02-07,2026-09-06,2,Yes,No,
ARC-LIC-10188,henry.kapoor@vandelay.example,Henry Kapoor,VL-1161,Standard,Active,2026-05-21,2026-09-02,6,Yes,No,
ARC-LIC-10049,owen.nwosu@vandelay.example,Owen Nwosu,VL-1172,Standard,Active,2020-10-22,2026-09-04,4,Yes,Yes,
ARC-LIC-10032,nathan.novak@vandelay.example,Nathan Novak,VL-1037,Standard,Active,2025-08-13,2026-09-04,4,Yes,Yes,
ARC-LIC-10219,julian.espinoza@vandelay.example,Julian Espinoza,VL-1205,Standard,Active,2020-04-12,2026-09-07,1,No,No,
ARC-LIC-10225,keira.bassett@vandelay.example,Keira Bassett,VL-1211,Standard,Active,2020-11-25,2026-09-07,1,Yes,Yes,
ARC-LIC-10199,rafael.sato@vandelay.example,Rafael Sato,VL-1133,Standard,Active,2018-03-01,2026-06-28,72,No,No,
ARC-LIC-10089,alina.fontaine@vandelay.example,Alina Fontaine,VL-1142,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10136,maya.fitzgerald@vandelay.example,Maya Fitzgerald,VL-1087,Standard,Active,2018-03-01,2026-08-12,27,Yes,Yes,
ARC-LIC-10186,anaya.ramanathan@vandelay.example,Anaya Ramanathan,VL-1125,Standard,Active,2018-03-01,2026-09-02,6,Yes,No,
ARC-LIC-10010,bram.contreras@vandelay.example,Bram Contreras,VL-1015,Standard,Active,2020-12-22,2026-09-07,1,Yes,Yes,
ARC-LIC-10078,felix.anand@vandelay.example,Felix Anand,VL-1061,Standard,Active,2023-10-13,2026-09-07,1,Yes,Yes,
ARC-LIC-10204,idris.bergstrom@vandelay.example,Idris Bergstrom,VL-1225,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10145,sofia.ashworth@vandelay.example,Sofia Ashworth,VL-1157,Standard,Active,2022-01-18,2026-09-08,0,Yes,No,
ARC-LIC-10008,rohan.okafor@vandelay.example,Rohan Okafor,VL-1013,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10232,nikolai.petrosyan@vandelay.example,Nikolai Petrosyan,VL-0934,Standard,Active,2021-12-18,2025-04-28,498,Yes,No,
ARC-LIC-10112,diego.garcia@vandelay.example,Diego Garcia,VL-1071,Standard,Active,2025-11-26,2026-08-05,34,Yes,Yes,
ARC-LIC-10181,greta.villanueva@vandelay.example,Greta Villanueva,VL-1120,Standard,Active,2018-03-01,2026-07-10,60,Yes,Yes,
ARC-LIC-10005,solveig.ramanathan@vandelay.example,Solveig Ramanathan,VL-1010,Standard,Active,2019-01-02,2026-09-08,0,Yes,No,
ARC-LIC-10099,amara.okafor@vandelay.example,Amara Okafor,VL-1181,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10184,zara.sinclair@vandelay.example,Zara Sinclair,VL-1123,Standard,Active,2025-03-14,2026-08-12,27,Yes,No,
ARC-LIC-10120,keira.wentworth@vandelay.example,Keira Wentworth,VL-1079,Standard,Active,2018-03-01,2026-09-05,3,Yes,Yes,
ARC-LIC-10220,devin.blackwood@vandelay.example,Devin Blackwood,VL-1206,Standard,Active,2026-07-13,2026-09-05,3,Yes,No,
ARC-LIC-10169,ava.doherty@vandelay.example,Ava Doherty,VL-1110,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10118,renata.osman@vandelay.example,Renata Osman,VL-1077,Standard,Active,2024-07-23,2026-08-11,28,No,Yes,
ARC-LIC-10228,adrian.nwosu@vandelay.example,Adrian Nwosu,VL-1214,Standard,Active,2025-09-25,2026-09-07,1,Yes,Yes,
ARC-LIC-10146,thandi.kaur@vandelay.example,Thandi Kaur,VL-1221,Standard,Active,2026-05-28,2026-09-02,6,Yes,Yes,
ARC-LIC-10127,tariq.delgado@vandelay.example,Tariq Delgado,VL-1190,Standard,Active,2018-03-01,2026-09-08,0,Yes,No,
ARC-LIC-10076,malik.obi@vandelay.example,Malik Obi,VL-1059,Standard,Active,2026-01-26,2026-09-06,2,Yes,Yes,
ARC-LIC-10087,nadia.aguilar@vandelay.example,Nadia Aguilar,VL-1140,Standard,Active,2018-03-01,2026-09-08,0,Yes,No,
ARC-LIC-10095,nathan.sorensen@vandelay.example,Nathan Sorensen,VL-1148,Standard,Active,2018-03-01,2026-09-04,4,Yes,No,
ARC-LIC-10045,benedict.fairbanks@vandelay.example,Benedict Fairbanks,VL-1168,Standard,Active,2021-12-07,2026-09-08,0,Yes,Yes,
ARC-LIC-10066,sienna.mensah@vandelay.example,Sienna Mensah,VL-1049,Standard,Active,2024-01-25,2026-09-07,1,Yes,No,
ARC-LIC-10020,sienna.pereira@vandelay.example,Sienna Pereira,VL-1025,Standard,Active,2020-10-01,2026-09-05,3,Yes,No,
ARC-LIC-10177,hana.okoro@vandelay.example,Hana Okoro,VL-1116,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10171,camille.nakagawa@vandelay.example,Camille Nakagawa,VL-1112,Standard,Active,2025-09-03,2026-08-14,25,Yes,Yes,
ARC-LIC-10069,tamar.chowdhury@vandelay.example,Tamar Chowdhury,VL-1052,Standard,Active,2023-11-14,2026-09-08,0,Yes,No,
ARC-LIC-10062,renata.beaumont@vandelay.example,Renata Beaumont,VL-1045,Standard,Active,2019-09-03,2026-09-05,3,Yes,Yes,
ARC-LIC-10046,marcel.obi@vandelay.example,Marcel Obi,VL-1169,Standard,Active,2022-07-24,2026-09-06,2,Yes,No,
ARC-LIC-10058,reuben.okonkwo@vandelay.example,Reuben Okonkwo,VL-1041,Standard,Active,2025-06-02,2026-08-31,8,Yes,Yes,
ARC-LIC-10019,selin.nakamura@vandelay.example,Selin Nakamura,VL-1024,Standard,Active,2020-11-26,2026-09-06,2,Yes,No,
ARC-LIC-10131,dalia.hartmann@vandelay.example,Dalia Hartmann,VL-1082,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10081,marcus.sorensen@vandelay.example,Marcus Sorensen,VL-1064,Standard,Active,2025-09-27,2026-09-04,4,Yes,Yes,
ARC-LIC-10061,imani.ndlovu@vandelay.example,Imani Ndlovu,VL-1044,Standard,Active,2020-05-25,2026-07-10,60,Yes,No,
ARC-LIC-10002,owen.whitfield@vandelay.example,Owen Whitfield,VL-1216,Standard,Active,2025-06-28,2026-09-06,2,Yes,Yes,
ARC-LIC-10030,miles.mbeki@vandelay.example,Miles Mbeki,VL-1035,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10013,devin.okoro@vandelay.example,Devin Okoro,VL-1018,Standard,Active,2018-03-01,2026-09-05,3,Yes,Yes,
